harmony_column,feature_name
harmony_51,Cells_Correlation_Manders_AGP_DNA
harmony_52,Cells_Correlation_Manders_AGP_RNA
harmony_53,Cells_Correlation_Manders_DNA_ER
harmony_54,Cells_Correlation_Manders_DNA_Mito
harmony_55,Cells_Correlation_Manders_DNA_RNA
harmony_56,Cells_Correlation_Manders_ER_DNA
harmony_57,Cells_Correlation_Manders_ER_RNA
harmony_58,Cells_Correlation_Manders_Mito_DNA
harmony_59,Cells_Correlation_Manders_Mito_RNA
harmony_60,Cells_Correlation_Manders_RNA_DNA
harmony_61,Cells_Correlation_Overlap_AGP_DNA
harmony_62,Cells_Correlation_Overlap_AGP_RNA
harmony_63,Cells_Correlation_Overlap_DNA_ER
harmony_64,Cells_Correlation_Overlap_DNA_Mito
harmony_65,Cells_Correlation_Overlap_DNA_RNA
harmony_66,Cells_Correlation_Overlap_ER_Mito
harmony_67,Cells_Correlation_Overlap_ER_RNA
harmony_68,Cells_Correlation_Overlap_Mito_RNA
harmony_69,Cells_Correlation_RWC_DNA_AGP
harmony_70,Cells_Correlation_RWC_DNA_Mito
harmony_71,Cells_Correlation_RWC_ER_DNA
harmony_72,Cells_Correlation_RWC_ER_Mito
harmony_73,Cells_Correlation_RWC_ER_RNA
harmony_74,Cells_Correlation_RWC_Mito_DNA
harmony_75,Cells_Correlation_RWC_Mito_RNA
harmony_76,Cells_Correlation_RWC_RNA_AGP
harmony_77,Cells_Correlation_RWC_RNA_Mito
harmony_78,Cells_Count_Count
harmony_79,Cells_Granularity_10_DNA
harmony_80,Cells_Granularity_10_Mito
harmony_81,Cells_Granularity_11_DNA
harmony_82,Cells_Granularity_12_DNA
harmony_83,Cells_Granularity_13_DNA
harmony_84,Cells_Granularity_14_DNA
harmony_85,Cells_Granularity_15_DNA
harmony_86,Cells_Granularity_16_DNA
harmony_87,Cells_Granularity_1_DNA
harmony_88,Cells_Granularity_2_ER
harmony_89,Cells_Granularity_2_RNA
harmony_90,Cells_Granularity_3_AGP
harmony_91,Cells_Granularity_3_ER
harmony_92,Cells_Granularity_3_RNA
harmony_93,Cells_Granularity_4_AGP
harmony_94,Cells_Granularity_4_ER
harmony_95,Cells_Granularity_4_RNA
harmony_96,Cells_Granularity_5_AGP
harmony_97,Cells_Granularity_5_ER
harmony_98,Cells_Granularity_6_AGP
harmony_99,Cells_Granularity_6_ER
harmony_100,Cells_Granularity_7_AGP
harmony_101,Cells_Granularity_7_DNA
harmony_102,Cells_Granularity_7_Mito
harmony_103,Cells_Granularity_8_AGP
harmony_104,Cells_Granularity_8_DNA
harmony_105,Cells_Granularity_8_Mito
harmony_106,Cells_Granularity_9_DNA
harmony_107,Cells_Granularity_9_Mito
harmony_108,Cells_Intensity_IntegratedIntensityEdge_AGP
harmony_109,Cells_Intensity_IntegratedIntensityEdge_DNA
harmony_110,Cells_Intensity_IntegratedIntensityEdge_Mito
harmony_111,Cells_Intensity_MADIntensity_DNA
harmony_112,Cells_Intensity_MassDisplacement_AGP
harmony_113,Cells_Intensity_MassDisplacement_DNA
harmony_114,Cells_Intensity_MassDisplacement_ER
harmony_115,Cells_Intensity_MassDisplacement_Mito
harmony_116,Cells_Intensity_MassDisplacement_RNA
harmony_117,Cells_Intensity_MaxIntensity_Mito
harmony_118,Cells_Intensity_MeanIntensityEdge_ER
harmony_119,Cells_Intensity_MinIntensityEdge_RNA
harmony_120,Cells_Intensity_StdIntensityEdge_AGP
harmony_121,Cells_Intensity_StdIntensityEdge_DNA
harmony_122,Cells_Intensity_StdIntensityEdge_ER
harmony_123,Cells_Intensity_StdIntensityEdge_Mito
harmony_124,Cells_Intensity_StdIntensityEdge_RNA
harmony_125,Cells_Intensity_UpperQuartileIntensity_DNA
harmony_126,Cells_Neighbors_NumberOfNeighbors_5
harmony_127,Cells_Parent_CellsIncludingEdges
harmony_128,Cells_RadialDistribution_FracAtD_AGP_1of4
harmony_129,Cells_RadialDistribution_FracAtD_AGP_3of4
harmony_130,Cells_RadialDistribution_FracAtD_AGP_4of4
harmony_131,Cells_RadialDistribution_FracAtD_DNA_1of4
harmony_132,Cells_RadialDistribution_FracAtD_DNA_3of4
harmony_133,Cells_RadialDistribution_FracAtD_DNA_4of4
harmony_134,Cells_RadialDistribution_FracAtD_Mito_1of4
harmony_135,Cells_RadialDistribution_FracAtD_Mito_3of4
harmony_136,Cells_RadialDistribution_FracAtD_Mito_4of4
harmony_137,Cells_RadialDistribution_FracAtD_RNA_1of4
harmony_138,Cells_RadialDistribution_FracAtD_RNA_3of4
harmony_139,Cells_RadialDistribution_FracAtD_RNA_4of4
harmony_140,Cells_RadialDistribution_FracAtD_mito_tubeness_12of16
harmony_141,Cells_RadialDistribution_FracAtD_mito_tubeness_14of20
harmony_142,Cells_RadialDistribution_FracAtD_mito_tubeness_19of20
harmony_143,Cells_RadialDistribution_FracAtD_mito_tubeness_1of20
harmony_144,Cells_RadialDistribution_FracAtD_mito_tubeness_7of16
harmony_145,Cells_RadialDistribution_MeanFrac_AGP_2of4
harmony_146,Cells_RadialDistribution_MeanFrac_AGP_3of4
harmony_147,Cells_RadialDistribution_MeanFrac_AGP_4of4
harmony_148,Cells_RadialDistribution_MeanFrac_DNA_3of4
harmony_149,Cells_RadialDistribution_MeanFrac_Mito_1of4
harmony_150,Cells_RadialDistribution_MeanFrac_Mito_3of4
harmony_151,Cells_RadialDistribution_MeanFrac_Mito_4of4
harmony_152,Cells_RadialDistribution_MeanFrac_RNA_1of4
harmony_153,Cells_RadialDistribution_MeanFrac_RNA_3of4
harmony_154,Cells_RadialDistribution_MeanFrac_mito_tubeness_16of16
harmony_155,Cells_RadialDistribution_MeanFrac_mito_tubeness_16of20
harmony_156,Cells_RadialDistribution_MeanFrac_mito_tubeness_17of20
harmony_157,Cells_RadialDistribution_MeanFrac_mito_tubeness_1of20
harmony_158,Cells_RadialDistribution_RadialCV_AGP_1of4
harmony_159,Cells_RadialDistribution_RadialCV_AGP_2of4
harmony_160,Cells_RadialDistribution_RadialCV_AGP_3of4
harmony_161,Cells_RadialDistribution_RadialCV_DNA_2of4
harmony_162,Cells_RadialDistribution_RadialCV_DNA_4of4
harmony_163,Cells_RadialDistribution_RadialCV_ER_2of4
harmony_164,Cells_RadialDistribution_RadialCV_Mito_2of4
harmony_165,Cells_RadialDistribution_RadialCV_Mito_4of4
harmony_166,Cells_RadialDistribution_RadialCV_RNA_1of4
harmony_167,Cells_RadialDistribution_RadialCV_RNA_2of4
harmony_168,Cells_RadialDistribution_RadialCV_RNA_4of4
harmony_169,Cells_RadialDistribution_RadialCV_mito_tubeness_10of16
harmony_170,Cells_RadialDistribution_RadialCV_mito_tubeness_12of16
harmony_171,Cells_RadialDistribution_RadialCV_mito_tubeness_16of16
harmony_172,Cells_RadialDistribution_RadialCV_mito_tubeness_16of20
harmony_173,Cells_RadialDistribution_RadialCV_mito_tubeness_19of20
harmony_174,Cells_RadialDistribution_RadialCV_mito_tubeness_1of16
harmony_175,Cells_RadialDistribution_RadialCV_mito_tubeness_1of20
harmony_176,Cells_RadialDistribution_RadialCV_mito_tubeness_2of16
harmony_177,Cells_RadialDistribution_RadialCV_mito_tubeness_2of20
harmony_178,Cells_RadialDistribution_RadialCV_mito_tubeness_3of16
harmony_179,Cells_RadialDistribution_RadialCV_mito_tubeness_3of20
harmony_180,Cells_RadialDistribution_RadialCV_mito_tubeness_5of20
harmony_181,Cells_RadialDistribution_RadialCV_mito_tubeness_6of16
harmony_182,Cells_RadialDistribution_RadialCV_mito_tubeness_6of20
harmony_183,Cells_RadialDistribution_RadialCV_mito_tubeness_8of16
harmony_184,Cells_Texture_Contrast_DNA_3_02_256
harmony_185,Cells_Texture_Contrast_ER_3_00_256
harmony_186,Cells_Texture_Correlation_AGP_10_01_256
harmony_187,Cells_Texture_Correlation_AGP_10_02_256
harmony_188,Cells_Texture_Correlation_AGP_10_03_256
harmony_189,Cells_Texture_Correlation_DNA_10_00_256
harmony_190,Cells_Texture_Correlation_DNA_10_01_256
harmony_191,Cells_Texture_Correlation_DNA_10_02_256
harmony_192,Cells_Texture_Correlation_DNA_10_03_256
harmony_193,Cells_Texture_Correlation_DNA_5_03_256
harmony_194,Cells_Texture_Correlation_ER_10_00_256
harmony_195,Cells_Texture_Correlation_ER_10_01_256
harmony_196,Cells_Texture_Correlation_ER_10_02_256
harmony_197,Cells_Texture_Correlation_ER_10_03_256
harmony_198,Cells_Texture_Correlation_Mito_10_01_256
harmony_199,Cells_Texture_Correlation_Mito_10_02_256
harmony_200,Cells_Texture_Correlation_Mito_10_03_256
harmony_201,Cells_Texture_Correlation_RNA_10_00_256
harmony_202,Cells_Texture_Correlation_RNA_10_01_256
harmony_203,Cells_Texture_Correlation_RNA_10_02_256
harmony_204,Cells_Texture_Correlation_RNA_10_03_256
harmony_205,Cells_Texture_InfoMeas1_AGP_10_02_256
harmony_206,Cells_Texture_InfoMeas1_DNA_10_00_256
harmony_207,Cells_Texture_InfoMeas1_DNA_10_03_256
harmony_208,Cells_Texture_InfoMeas1_DNA_3_02_256
harmony_209,Cells_Texture_InfoMeas1_ER_10_00_256
harmony_210,Cells_Texture_InfoMeas1_ER_10_01_256
harmony_211,Cells_Texture_InfoMeas1_ER_10_02_256
harmony_212,Cells_Texture_InfoMeas1_ER_10_03_256
harmony_213,Cells_Texture_InfoMeas1_ER_5_01_256
harmony_214,Cells_Texture_InfoMeas1_ER_5_03_256
harmony_215,Cells_Texture_InfoMeas1_Mito_10_00_256
harmony_216,Cells_Texture_InfoMeas1_Mito_10_02_256
harmony_217,Cells_Texture_InfoMeas1_Mito_10_03_256
harmony_218,Cells_Texture_InfoMeas1_Mito_3_00_256
harmony_219,Cells_Texture_InfoMeas1_RNA_10_00_256
harmony_220,Cells_Texture_InfoMeas1_RNA_10_01_256
harmony_221,Cells_Texture_InfoMeas1_RNA_10_02_256
harmony_222,Cells_Texture_InfoMeas1_RNA_5_02_256
harmony_223,Cells_Texture_InfoMeas2_ER_10_01_256
harmony_224,Cells_Texture_InfoMeas2_ER_3_03_256
harmony_225,Cells_Texture_InfoMeas2_Mito_5_02_256
harmony_226,Cells_Texture_InfoMeas2_RNA_3_01_256
harmony_227,Cells_Texture_InverseDifferenceMoment_DNA_3_02_256
harmony_228,Cytoplasm_AreaShape_BoundingBoxArea
harmony_229,Cytoplasm_AreaShape_BoundingBoxMinimum_X
harmony_230,Cytoplasm_AreaShape_Compactness
harmony_231,Cytoplasm_AreaShape_Eccentricity
harmony_232,Cytoplasm_AreaShape_EulerNumber
harmony_233,Cytoplasm_AreaShape_Extent
harmony_234,Cytoplasm_AreaShape_Zernike_0_0
harmony_235,Cytoplasm_AreaShape_Zernike_1_1
harmony_236,Cytoplasm_AreaShape_Zernike_2_0
harmony_237,Cytoplasm_AreaShape_Zernike_2_2
harmony_238,Cytoplasm_AreaShape_Zernike_3_1
harmony_239,Cytoplasm_AreaShape_Zernike_4_0
harmony_240,Cytoplasm_AreaShape_Zernike_4_2
harmony_241,Cytoplasm_AreaShape_Zernike_4_4
harmony_242,Cytoplasm_AreaShape_Zernike_5_1
harmony_243,Cytoplasm_AreaShape_Zernike_5_3
harmony_244,Cytoplasm_AreaShape_Zernike_6_0
harmony_245,Cytoplasm_AreaShape_Zernike_6_2
harmony_246,Cytoplasm_AreaShape_Zernike_6_4
harmony_247,Cytoplasm_AreaShape_Zernike_6_6
harmony_248,Cytoplasm_AreaShape_Zernike_7_1
harmony_249,Cytoplasm_AreaShape_Zernike_7_3
harmony_250,Cytoplasm_AreaShape_Zernike_7_5
harmony_251,Cytoplasm_AreaShape_Zernike_8_0
harmony_252,Cytoplasm_AreaShape_Zernike_8_2
harmony_253,Cytoplasm_AreaShape_Zernike_8_4
harmony_254,Cytoplasm_AreaShape_Zernike_8_8
harmony_255,Cytoplasm_AreaShape_Zernike_9_1
harmony_256,Cytoplasm_AreaShape_Zernike_9_3
harmony_257,Cytoplasm_AreaShape_Zernike_9_5
harmony_258,Cytoplasm_Correlation_Correlation_AGP_DNA
harmony_259,Cytoplasm_Correlation_Correlation_AGP_RNA
harmony_260,Cytoplasm_Correlation_Correlation_DNA_ER
harmony_261,Cytoplasm_Correlation_Correlation_DNA_Mito
harmony_262,Cytoplasm_Correlation_Correlation_DNA_RNA
harmony_263,Cytoplasm_Correlation_Correlation_ER_RNA
harmony_264,Cytoplasm_Correlation_Correlation_Mito_RNA
harmony_265,Cytoplasm_Correlation_K_AGP_DNA
harmony_266,Cytoplasm_Correlation_K_AGP_ER
harmony_267,Cytoplasm_Correlation_K_AGP_Mito
harmony_268,Cytoplasm_Correlation_K_DNA_AGP
harmony_269,Cytoplasm_Correlation_K_DNA_ER
harmony_270,Cytoplasm_Correlation_K_DNA_Mito
harmony_271,Cytoplasm_Correlation_K_DNA_RNA
harmony_272,Cytoplasm_Correlation_K_ER_AGP
harmony_273,Cytoplasm_Correlation_K_ER_DNA
harmony_274,Cytoplasm_Correlation_K_Mito_DNA
harmony_275,Cytoplasm_Correlation_K_Mito_ER
harmony_276,Cytoplasm_Correlation_K_RNA_DNA
harmony_277,Cytoplasm_Correlation_K_RNA_ER
harmony_278,Cytoplasm_Correlation_Manders_AGP_ER
harmony_279,Cytoplasm_Correlation_Manders_AGP_RNA
harmony_280,Cytoplasm_Correlation_Manders_DNA_AGP
harmony_281,Cytoplasm_Correlation_Manders_DNA_ER
harmony_282,Cytoplasm_Correlation_Manders_DNA_Mito
harmony_283,Cytoplasm_Correlation_Manders_DNA_RNA
harmony_284,Cytoplasm_Correlation_Manders_ER_DNA
harmony_285,Cytoplasm_Correlation_Manders_ER_Mito
harmony_286,Cytoplasm_Correlation_Manders_ER_RNA
harmony_287,Cytoplasm_Correlation_Manders_Mito_AGP
harmony_288,Cytoplasm_Correlation_Manders_Mito_ER
harmony_289,Cytoplasm_Correlation_Manders_Mito_RNA
harmony_290,Cytoplasm_Correlation_Manders_RNA_ER
harmony_291,Cytoplasm_Correlation_Overlap_AGP_DNA
harmony_292,Cytoplasm_Correlation_Overlap_AGP_ER
harmony_293,Cytoplasm_Correlation_Overlap_AGP_Mito
harmony_294,Cytoplasm_Correlation_Overlap_DNA_ER
harmony_295,Cytoplasm_Correlation_Overlap_DNA_Mito
harmony_296,Cytoplasm_Correlation_Overlap_DNA_RNA
harmony_297,Cytoplasm_Correlation_Overlap_ER_Mito
harmony_298,Cytoplasm_Correlation_Overlap_ER_RNA
harmony_299,Cytoplasm_Correlation_Overlap_Mito_RNA
harmony_300,Cytoplasm_Correlation_RWC_AGP_RNA
harmony_301,Cytoplasm_Correlation_RWC_DNA_AGP
harmony_302,Cytoplasm_Correlation_RWC_DNA_ER
harmony_303,Cytoplasm_Correlation_RWC_DNA_Mito
harmony_304,Cytoplasm_Correlation_RWC_ER_AGP
harmony_305,Cytoplasm_Correlation_RWC_ER_RNA
harmony_306,Cytoplasm_Correlation_RWC_Mito_AGP
harmony_307,Cytoplasm_Correlation_RWC_Mito_ER
harmony_308,Cytoplasm_Correlation_RWC_Mito_RNA
harmony_309,Cytoplasm_Correlation_RWC_RNA_ER
harmony_310,Cytoplasm_Granularity_10_DNA
harmony_311,Cytoplasm_Granularity_11_DNA
harmony_312,Cytoplasm_Granularity_12_DNA
harmony_313,Cytoplasm_Granularity_13_DNA
harmony_314,Cytoplasm_Granularity_14_DNA
harmony_315,Cytoplasm_Granularity_15_DNA
harmony_316,Cytoplasm_Granularity_16_DNA
harmony_317,Cytoplasm_Granularity_1_DNA
harmony_318,Cytoplasm_Granularity_2_DNA
harmony_319,Cytoplasm_Granularity_2_ER
harmony_320,Cytoplasm_Granularity_2_RNA
harmony_321,Cytoplasm_Granularity_4_DNA
harmony_322,Cytoplasm_Granularity_4_ER
harmony_323,Cytoplasm_Granularity_4_Mito
harmony_324,Cytoplasm_Granularity_4_RNA
harmony_325,Cytoplasm_Granularity_5_DNA
harmony_326,Cytoplasm_Granularity_5_ER
harmony_327,Cytoplasm_Granularity_5_Mito
harmony_328,Cytoplasm_Granularity_5_RNA
harmony_329,Cytoplasm_Granularity_6_DNA
harmony_330,Cytoplasm_Granularity_6_Mito
harmony_331,Cytoplasm_Granularity_6_RNA
harmony_332,Cytoplasm_Granularity_7_DNA
harmony_333,Cytoplasm_Granularity_8_DNA
harmony_334,Cytoplasm_Granularity_9_DNA
harmony_335,Cytoplasm_Intensity_IntegratedIntensity_AGP
harmony_336,Cytoplasm_Intensity_IntegratedIntensity_DNA
harmony_337,Cytoplasm_Intensity_MADIntensity_DNA
harmony_338,Cytoplasm_Intensity_MADIntensity_ER
harmony_339,Cytoplasm_Intensity_MassDisplacement_DNA
harmony_340,Cytoplasm_Intensity_MinIntensityEdge_DNA
harmony_341,Cytoplasm_Intensity_MinIntensityEdge_Mito
harmony_342,Cytoplasm_RadialDistribution_FracAtD_AGP_3of4
harmony_343,Cytoplasm_RadialDistribution_FracAtD_AGP_4of4
harmony_344,Cytoplasm_RadialDistribution_FracAtD_DNA_1of4
harmony_345,Cytoplasm_RadialDistribution_FracAtD_DNA_4of4
harmony_346,Cytoplasm_RadialDistribution_FracAtD_ER_3of4
harmony_347,Cytoplasm_RadialDistribution_FracAtD_Mito_3of4
harmony_348,Cytoplasm_RadialDistribution_FracAtD_Mito_4of4
harmony_349,Cytoplasm_RadialDistribution_FracAtD_RNA_1of4
harmony_350,Cytoplasm_RadialDistribution_FracAtD_RNA_4of4
harmony_351,Cytoplasm_RadialDistribution_FracAtD_mito_tubeness_10of16
harmony_352,Cytoplasm_RadialDistribution_FracAtD_mito_tubeness_10of20
harmony_353,Cytoplasm_RadialDistribution_FracAtD_mito_tubeness_11of20
harmony_354,Cytoplasm_RadialDistribution_FracAtD_mito_tubeness_12of20
harmony_355,Cytoplasm_RadialDistribution_FracAtD_mito_tubeness_13of16
harmony_356,Cytoplasm_RadialDistribution_FracAtD_mito_tubeness_13of20
harmony_357,Cytoplasm_RadialDistribution_FracAtD_mito_tubeness_15of20
harmony_358,Cytoplasm_RadialDistribution_FracAtD_mito_tubeness_16of16
harmony_359,Cytoplasm_RadialDistribution_FracAtD_mito_tubeness_1of16
harmony_360,Cytoplasm_RadialDistribution_FracAtD_mito_tubeness_2of16
harmony_361,Cytoplasm_RadialDistribution_FracAtD_mito_tubeness_2of20
harmony_362,Cytoplasm_RadialDistribution_FracAtD_mito_tubeness_3of16
harmony_363,Cytoplasm_RadialDistribution_FracAtD_mito_tubeness_3of20
harmony_364,Cytoplasm_RadialDistribution_FracAtD_mito_tubeness_4of16
harmony_365,Cytoplasm_RadialDistribution_FracAtD_mito_tubeness_4of20
harmony_366,Cytoplasm_RadialDistribution_FracAtD_mito_tubeness_5of16
harmony_367,Cytoplasm_RadialDistribution_FracAtD_mito_tubeness_6of16
harmony_368,Cytoplasm_RadialDistribution_FracAtD_mito_tubeness_6of20
harmony_369,Cytoplasm_RadialDistribution_FracAtD_mito_tubeness_8of20
harmony_370,Cytoplasm_RadialDistribution_FracAtD_mito_tubeness_9of20
harmony_371,Cytoplasm_RadialDistribution_MeanFrac_AGP_2of4
harmony_372,Cytoplasm_RadialDistribution_MeanFrac_AGP_3of4
harmony_373,Cytoplasm_RadialDistribution_MeanFrac_AGP_4of4
harmony_374,Cytoplasm_RadialDistribution_MeanFrac_DNA_1of4
harmony_375,Cytoplasm_RadialDistribution_MeanFrac_DNA_4of4
harmony_376,Cytoplasm_RadialDistribution_MeanFrac_ER_2of4
harmony_377,Cytoplasm_RadialDistribution_MeanFrac_ER_3of4
harmony_378,Cytoplasm_RadialDistribution_MeanFrac_ER_4of4
harmony_379,Cytoplasm_RadialDistribution_MeanFrac_Mito_1of4
harmony_380,Cytoplasm_RadialDistribution_MeanFrac_Mito_3of4
harmony_381,Cytoplasm_RadialDistribution_MeanFrac_Mito_4of4
harmony_382,Cytoplasm_RadialDistribution_MeanFrac_RNA_2of4
harmony_383,Cytoplasm_RadialDistribution_MeanFrac_RNA_3of4
harmony_384,Cytoplasm_RadialDistribution_MeanFrac_RNA_4of4
harmony_385,Cytoplasm_RadialDistribution_MeanFrac_mito_tubeness_10of16
harmony_386,Cytoplasm_RadialDistribution_MeanFrac_mito_tubeness_10of20
harmony_387,Cytoplasm_RadialDistribution_MeanFrac_mito_tubeness_11of20
harmony_388,Cytoplasm_RadialDistribution_MeanFrac_mito_tubeness_12of16
harmony_389,Cytoplasm_RadialDistribution_MeanFrac_mito_tubeness_12of20
harmony_390,Cytoplasm_RadialDistribution_MeanFrac_mito_tubeness_13of20
harmony_391,Cytoplasm_RadialDistribution_MeanFrac_mito_tubeness_14of20
harmony_392,Cytoplasm_RadialDistribution_MeanFrac_mito_tubeness_17of20
harmony_393,Cytoplasm_RadialDistribution_MeanFrac_mito_tubeness_1of20
harmony_394,Cytoplasm_RadialDistribution_MeanFrac_mito_tubeness_20of20
harmony_395,Cytoplasm_RadialDistribution_MeanFrac_mito_tubeness_2of16
harmony_396,Cytoplasm_RadialDistribution_MeanFrac_mito_tubeness_3of16
harmony_397,Cytoplasm_RadialDistribution_MeanFrac_mito_tubeness_3of20
harmony_398,Cytoplasm_RadialDistribution_MeanFrac_mito_tubeness_4of16
harmony_399,Cytoplasm_RadialDistribution_MeanFrac_mito_tubeness_4of20
harmony_400,Cytoplasm_RadialDistribution_MeanFrac_mito_tubeness_5of16
harmony_401,Cytoplasm_RadialDistribution_MeanFrac_mito_tubeness_6of16
harmony_402,Cytoplasm_RadialDistribution_MeanFrac_mito_tubeness_6of20
harmony_403,Cytoplasm_RadialDistribution_MeanFrac_mito_tubeness_7of16
harmony_404,Cytoplasm_RadialDistribution_MeanFrac_mito_tubeness_8of20
harmony_405,Cytoplasm_RadialDistribution_MeanFrac_mito_tubeness_9of16
harmony_406,Cytoplasm_RadialDistribution_RadialCV_AGP_2of4
harmony_407,Cytoplasm_RadialDistribution_RadialCV_AGP_3of4
harmony_408,Cytoplasm_RadialDistribution_RadialCV_AGP_4of4
harmony_409,Cytoplasm_RadialDistribution_RadialCV_DNA_1of4
harmony_410,Cytoplasm_RadialDistribution_RadialCV_DNA_2of4
harmony_411,Cytoplasm_RadialDistribution_RadialCV_DNA_3of4
harmony_412,Cytoplasm_RadialDistribution_RadialCV_ER_3of4
harmony_413,Cytoplasm_RadialDistribution_RadialCV_Mito_3of4
harmony_414,Cytoplasm_RadialDistribution_RadialCV_RNA_3of4
harmony_415,Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_10of16
harmony_416,Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_10of20
harmony_417,Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_11of20
harmony_418,Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_12of20
harmony_419,Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_13of16
harmony_420,Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_13of20
harmony_421,Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_14of20
harmony_422,Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_16of16
harmony_423,Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_20of20
harmony_424,Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_2of16
harmony_425,Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_2of20
harmony_426,Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_3of16
harmony_427,Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_3of20
harmony_428,Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_4of16
harmony_429,Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_4of20
harmony_430,Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_5of16
harmony_431,Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_6of16
harmony_432,Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_6of20
harmony_433,Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_8of20
harmony_434,Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_9of16
harmony_435,Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_9of20
harmony_436,Cytoplasm_Texture_AngularSecondMoment_AGP_3_00_256
harmony_437,Cytoplasm_Texture_AngularSecondMoment_DNA_10_02_256
harmony_438,Cytoplasm_Texture_AngularSecondMoment_ER_10_03_256
harmony_439,Cytoplasm_Texture_AngularSecondMoment_Mito_10_01_256
harmony_440,Cytoplasm_Texture_AngularSecondMoment_RNA_10_03_256
harmony_441,Cytoplasm_Texture_Contrast_AGP_3_00_256
harmony_442,Cytoplasm_Texture_Contrast_DNA_3_02_256
harmony_443,Cytoplasm_Texture_Contrast_Mito_3_02_256
harmony_444,Cytoplasm_Texture_Contrast_RNA_3_02_256
harmony_445,Cytoplasm_Texture_Correlation_AGP_10_00_256
harmony_446,Cytoplasm_Texture_Correlation_AGP_10_01_256
harmony_447,Cytoplasm_Texture_Correlation_AGP_10_02_256
harmony_448,Cytoplasm_Texture_Correlation_AGP_10_03_256
harmony_449,Cytoplasm_Texture_Correlation_AGP_5_01_256
harmony_450,Cytoplasm_Texture_Correlation_AGP_5_02_256
harmony_451,Cytoplasm_Texture_Correlation_AGP_5_03_256
harmony_452,Cytoplasm_Texture_Correlation_DNA_10_02_256
